Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Czech Republic,2.269999981,3.181999922,4.320000172,4.296000004,4.024000168,3.894000053,4.270999908,5.903999805,8.48900032,8.762000084,7.991000175,7.019000053,7.544000149,8.210000038,7.927000046,7.147999763,5.320000172,4.392000198,6.662000179,7.278999805,6.710999966,6.978000164,6.953000069,6.107999802,5.046000004,3.950999975,2.890000105,2.397000074
Germany,5.316999912,6.322999954,7.675000191,8.727999687,8.157999992,8.824999809,9.862999916,9.788000107,8.854999542,7.916999817,7.772999763,8.482000351,9.779000282,10.72700024,11.16699982,10.25,8.657999992,7.524000168,7.742000103,6.96600008,5.823999882,5.379000187,5.230999947,4.980999947,4.624000072,4.122000217,3.746000051,3.424999952
Djibouti,12.23200035,12.45899963,12.83100033,13.21000004,13.51500034,13.51299953,13.54399967,13.43200016,13.81299973,13.63599968,13.61299992,13.6079998,13.29399967,13.00199986,12.69699955,11.7840004,11.02900028,10.77900028,11.71700001,12.47700024,12.41800022,12.28899956,11.72599983,11.74499989,11.09399986,11.04599953,11.16399956,11.12199974
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,9.098999977,9.027000427,10.71899986,8.036000252,6.992000103,6.843999863,5.400000095,5.039000034,5.140999794,4.475999832,4.164000034,4.274000168,5.397999763,5.203999996,4.829999924,3.897000074,3.801000118,3.434000015,6.006999969,7.464000225,7.572999954,7.526000023,6.997000217,6.589000225,6.168000221,6.181000233,5.743000031,4.974999905
Dominican Republic,6.05700016,6.160999775,6.357999802,6.380000114,6.491000175,6.504000187,6.524000168,6.300000191,6.458000183,6.43200016,7.262000084,6.778999805,6.938000202,6.302999973,6.586999893,5.65500021,5.157999992,4.763999939,5.467000008,5.211999893,6.086999893,6.722000122,7.352000237,6.718999863,7.605000019,7.28399992,5.831999779,5.828999996
Algeria,20.60000038,24.37999916,26.22999954,27.73999977,31.84000015,28.61800003,25.43000031,26.91900063,28.44799995,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.20699978,11.20600033,10.20199966,11.99600029,12.14500046
East Asia & Pacific (excluding high income),2.425401889,2.396396228,2.69403414,2.875489686,2.97507048,3.07799596,3.212994578,3.364585167,3.524188151,3.471949369,3.859496704,4.143861657,4.432277499,4.413126356,4.469621973,4.350216197,4.302753029,4.456232744,4.397197669,4.146284062,4.08471118,4.073715475,4.06623752,4.034516274,4.092932805,4.003355328,3.918121571,3.939146536
Early-demographic dividend,3.893134921,3.987277426,4.345108722,4.539824063,4.883102774,4.807429841,4.731033735,4.834477549,5.083346855,5.076487832,5.198865654,5.538635563,5.463081815,5.255874436,5.204840436,4.769320205,4.5212541,4.316078147,4.610514665,4.445010534,4.434696688,4.478509724,4.601522154,4.50817444,4.656762029,4.658256587,4.540494823,4.546328056
East Asia & Pacific,2.472267916,2.466880063,2.757329016,2.925570346,3.01799243,3.128726078,3.2569921,3.528569425,3.697103344,3.598156947,3.971761334,4.246594758,4.500437342,4.434973637,4.457927589,4.320805996,4.253085855,4.39699045,4.455448624,4.216615344,4.110880721,4.084550214,4.06279006,4.021643231,4.063466343,3.967655032,3.870646676,3.869127257
